n  Merge Sort  Modified Merge Sort
100    664.39     419.18
200    1528.77     964.55
300    2468.65     1557.54
400    3457.54     2181.47
500    4482.89     2828.39
600    5537.29     3493.64
700    6615.85     4174.14
800    7715.08     4867.68
900    8832.40     5572.63
1000    9965.78     6287.71
